# of P-RNAPII EC,Volume of Condensate (Ã…^3)
158,5508863431.633926
107,869241929.4233491
258,4555375718.713066
187,3183234861.881015
315,10656002550.14681
44,423625997.60361606
79,712969606.1391513
246,4114048143.091355
164,2005806210.6035032
311,10677434959.977839
53,384892630.9131924
235,5483991478.155491
140,1113266811.4874659
70,536643423.0575068
49,1779403655.942878
139,11589820661.659239
95,1902449888.4255369
124,10473775568.049028
88,1211748189.3598416
133,1836548395.4525352
70,2103750329.397097
215,2657494025.115671
339,5532864119.744519
94,1415150144.9065623
258,3725653005.7334614
247,3093388897.4297442
125,9871522150.45436
199,8089538701.524904
109,1388491588.3469253
197,4701970669.4732065
519,10068461672.860214
139,2421902463.487468
592,12074743532.75341
178,3105970487.706438
67,4760184741.9321575
132,2718743796.759192
210,9997159575.475868
79,2331694460.1283593
41,418544389.4556315
139,1745750834.0356617
270,3154828874.0519547
213,6708814601.755176
75,3225918806.485452
63,1843333086.6655796
93,4905250166.403113
144,3109046112.3933625
132,9103031872.875309
144,3234457243.870585
169,4487601473.952973
217,3381099689.9055505
284,3398535811.155411
80,1581133885.9381053
93,7876373235.77891
329,3098950511.0534477
111,2131847052.0287411
186,10947637707.602852
152,2766008744.6828637
159,2579091753.636425
167,3859536086.612479
133,2663318301.0810523
88,1183640385.1259327
86,1185310506.2837558
118,8090078830.926871
170,1938117769.3947444
195,4232193643.3021016
45,2590689394.416344
242,12773392721.438576
55,1089806219.0510101
38,820338373.9617677
120,1783757529.7030592
32,497234545.7821469
159,7310449770.687031
197,4306523606.22762
